"Fiscal Year","Contracting Agency ID","Product or Service Code","Dollars Obligated"
"2019","12C2","4110","$123,529.70"
"2019","12C2","4120","$224,015.23"
"2019","12C2","4130","$11,797.00"
"2019","12C2","4140","($113.76)"
"2019","12C2","4210","$29,344,446.79"
"2019","12C2","4235","$226,079.24"
"2019","12C2","4240","$733,091.12"
"2019","12C2","4310","$304,517.83"
"2019","12C2","4320","$110,782.12"
"2019","12C2","4410","$30,533.75"
"2019","12C2","4510","$184,814.44"
"2019","12C2","4520","$178.95"
"2019","12C2","4530","$12,785.00"
"2019","12C2","4540","$240,135.59"
"2019","12C2","4610","$26,280.75"
"2019","12C2","4630","$99,261.11"
"2019","12C2","4710","$266,288.72"
"2019","12C2","4730","$33,071.52"
"2019","12C2","4810","$471,651.11"
"2019","12C2","4910","$312,153.57"
"2019","12C2","4920","$9,847.49"
"2019","12C2","4930","$7,641.16"
"2019","12C2","4940","$67,320.12"
"2019","12C2","5130","$93,475.00"
"2019","12C2","5140","$42,450.00"
"2019","12C2","5210","$43,464.08"
"2019","12C2","5220","$29,026.40"
"2019","12C2","5280","$18,700.55"
"2019","12C2","5306","$14,000.00"
"2019","12C2","5310","$72,099.28"
"2019","12C2","5340","$74,972.78"
"2019","12C2","5410","$6,498,624.12"
"2019","12C2","5411","$0.00"
"2019","12C2","5419","$29,874.62"
"2019","12C2","5420","$690,389.00"
"2019","12C2","5430","$63,183.00"
"2019","12C2","5440","$102,995.47"
"2019","12C2","5450","$598,906.01"
"2019","12C2","5510","$673,531.99"
"2019","12C2","5520","$3,267.77"
"2019","12C2","5610","$1,537,852.63"
"2019","12C2","5620","$3,194.80"
"2019","12C2","5630","$72,711.49"
"2019","12C2","5640","$45,720.35"
"2019","12C2","5650","$316,198.22"
"2019","12C2","5660","$1,412,522.88"
"2019","12C2","5670","$676,206.08"
"2019","12C2","5675","$11,155.37"
"2019","12C2","5680","$430,767.73"
"2019","12C2","5805","$202,533.21"
"2019","12C2","5810","$169,420.55"
"2019","12C2","5820","$12,321,695.68"
"2019","12C2","5821","$792,541.84"
"2019","12C2","5825","$146,576.40"
"2019","12C2","5826","$27,204.80"
"2019","12C2","5830","$24,890.65"
"2019","12C2","5835","$182,424.72"
"2019","12C2","5836","$115,772.55"
"2019","12C2","5855","$190,023.96"
